order_week,Month,Year,adStock_Traditional Marketing,adStock_Digital Marketing,adStock_Partnership Marketing,adStock_Other Marketing,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,CoolingPad,GameControlMount,GamePad,GamingAccessoryKit,GamingAdapter,GamingChargingStation,GamingHeadset,GamingKeyboard,GamingMemoryCard,GamingMouse,GamingMousePad,GamingSpeaker,JoystickGamingWheel,MotionController,TVOutCableAccessory
44,11,2015,17.247085251826213,17.903781028266806,18.235675700564077,0.0,2216882.961978789,3640,5.801650540694365,2.1960728514513375,1616.6770062606715,618.2558031860437,44.736731636660984,0.45954467842914054,3514,3514,1.0,1.0,0.0,0.0,1.0,1.0,0,0,1030,200,62,0,1287,76,33,720,51,1,18,6,156
45,11,2015,13.01339418130846,15.432102068621095,14.097852476596394,0.0,2574596.7092801854,4442,5.131491973559962,2.392823418319169,1397.0892351274788,596.3023863344511,46.99999999999999,0.47202549575070823,4236,4236,0.0,0.0,2.0,1.0,0.0,0.0,1,0,1172,213,51,0,1032,88,42,1660,38,3,18,3,121
46,11,2015,10.750128651218546,13.990300961202085,11.882903721602364,0.0,2118999.5,3447,6.088888888888889,2.3582222222222224,1526.5555555555557,621.086962962963,46.99999999999999,0.4324977777777778,3375,3375,1.0,1.0,4.0,1.0,1.0,1.0,0,0,1010,216,65,0,1138,52,52,716,51,0,11,6,130
47,11,2015,9.618495886173587,13.26940040749258,10.77542934410535,0.0,1713393.0,2512,5.726272912423625,2.4973523421588593,1726.756415478615,687.742566191446,46.99999999999999,0.43309164969450104,2455,2455,0.0,0.0,0.0,0.0,0.0,0.0,1,0,724,185,65,2,812,56,88,393,43,1,14,6,122
48,11,2015,9.052679503651106,12.908950130637825,10.221692155356841,0.0,2324538.0,3754,5.86232481450948,2.6073097004671615,1777.7219016213246,627.6367133827974,46.99999999999999,0.4591316295685628,3639,3639,0.0,0.0,0.0,0.0,0.0,0.0,1,0,994,196,73,0,1115,76,103,977,60,2,18,9,130
49,12,2015,20.7862761502817,14.418195420276263,21.493443209686042,0.0,2279047.0,3532,6.075700664547819,2.5171915631320427,1580.6810170470962,650.5290378503323,45.98064143311182,0.42856399884426466,3461,3461,0.0,0.0,0.0,0.0,1.0,1.0,0,0,861,209,77,0,1229,67,200,651,66,3,20,10,139
50,12,2015,22.7418755913868,14.669736301882669,23.372068385407573,0.0,2509015.500185254,3999,5.517161290322581,2.6921290322580647,1710.308129032258,636.9165161768398,45.8,0.4625858064516129,3875,3875,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1131,222,49,2,1144,96,233,795,108,9,17,7,186
51,12,2015,23.719675311939348,14.795506742685872,24.311380973268342,0.0,2119428.0,3488,6.477938999111638,2.5753627480011847,1554.814332247557,618.608972460764,45.79999999999999,0.4725199881551673,3377,3377,0.0,0.0,0.0,0.0,1.0,1.0,0,1,1017,151,45,2,1157,77,240,570,69,10,28,3,118
52,12,2015,24.208575172215625,14.858391963087474,24.781037267198723,0.0,3282222.0,5570,5.755439836339966,2.592337734796355,1642.9135205504929,599.2168185481372,45.8,0.5310451924865166,5377,5377,2.0,1.0,3.0,1.0,0.0,0.0,1,0,1204,203,58,5,2127,89,609,1014,90,13,26,14,117
53,1,2016,10.052148833893753,14.216198707925779,10.294908431943789,10.158750000000008,2317744.0,3884,5.951394422310757,2.6108897742363877,2329.9309428950864,606.336786188579,46.388303495294195,0.500332005312085,3765,3765,1.0,1.0,6.0,1.0,1.0,1.0,1,0,975,177,52,7,1468,85,273,590,69,20,24,5,138
54,1,2016,7.652002789150419,14.103926063698696,7.841415601573768,11.85187500000001,2458478.0,4218,5.922702965483714,2.673310646572679,2466.4752066115702,589.4822557122022,47.09303132503366,0.48754010695187167,4114,4114,0.0,0.0,0.0,0.0,0.0,0.0,3,0,968,148,61,1,1684,87,313,679,68,26,30,10,140
