order_week,Month,Year,adStock_TV,adStock_Digital,adStock_Sponsorship,adStock_Content Marketing,adStock_Online marketing,adStock_ Affiliates,adStock_SEM,adStock_Radio,adStock_Other,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,Binoculars,CameraAccessory,CameraBag,CameraBattery,CameraBatteryCharger,CameraBatteryGrip,CameraEyeCup,CameraFilmRolls,CameraHousing,CameraMicrophone,CameraMount,CameraRemoteControl,CameraTripod,ExtensionTube,Filter,Flash,FlashShoeAdapter,Lens,ReflectorUmbrella,Softbox,Strap,Telescope
38,9,2015,1.4549647486386053,0.53865270134344,23.570291080691383,0.22885967890681524,6.145525409823831,1.891076799228138,2.3847167045859727,0.0,0.0,2144926.0,3002,6.807453416149069,2.880952380952381,1604.0904071773637,720.4730848861284,46.925418687263985,0.4695859213250517,2898,2898,0.0,0.0,0.0,0.0,1.0,1.0,197,48,261,646,167,8,0,16,0,0,12,137,618,1,225,241,0,380,0,0,14,31
39,9,2015,1.5033579489556157,0.5356393950088287,24.338522163391836,0.23648823109870576,6.3482558431114295,1.9529038147340196,2.4229696925821447,0.0,0.0,2139751.0,3065,6.35885328836425,3.1200674536256323,1763.870826306914,707.1483979763913,46.925418687263985,0.5080236087689713,2965,2965,0.0,0.0,0.0,0.0,0.0,0.0,201,50,231,630,175,11,0,23,0,0,14,131,878,0,213,136,0,326,0,0,20,26
40,9,2015,1.5275545491141207,0.534132741841523,24.72263770474206,0.24030250719465102,6.449621059755229,1.9838173224869604,2.4420961865802306,0.0,0.0,2699984.0,4549,5.702137232845894,2.5619797525309336,1738.5367829021372,596.2960629921259,45.82762465946648,0.6004994375703037,4445,4445,0.0,0.0,0.0,0.0,1.0,1.0,255,43,211,616,172,10,0,23,0,0,7,113,2319,0,214,142,0,379,0,0,25,20
41,10,2015,2.6679701246301315,4.860604374765028,37.63854163300594,1.3487429164223934,10.675040713234832,3.087479123201218,12.554080740180328,0.0,0.0,2184495.0,3020,6.331067301155676,2.737933378653977,1623.1651937457511,726.6414004078858,44.3983889339963,0.4814887831407206,2942,2942,0.0,0.0,1.0,1.0,0.0,0.0,211,33,219,630,184,9,0,31,0,0,11,112,832,0,191,164,0,354,0,0,22,17
42,10,2015,2.858039387216133,5.581682980252279,39.791192287716584,1.533482984627017,11.3792773221481,3.2714227566535943,14.239411499113675,0.0,0.0,6300403.9811929865,10001,6.467903142709943,2.998557444616177,1504.2510046367852,638.3002034602431,44.3983889339963,0.5506450283359093,9705,9705,1.0,1.0,4.0,1.0,1.0,1.0,726,64,879,1424,423,12,0,33,0,0,18,309,2348,0,952,1140,0,1597,0,0,29,47
43,10,2015,2.9530740185091338,5.942222282995905,40.86751761507191,1.625853018729329,11.731395626604733,3.3633945733797823,15.082076878580352,0.0,0.0,2260410.110548649,3142,7.053495241220873,2.77321956022317,1535.5073843124385,726.7831015912861,44.39838893399631,0.46943551033803743,3047,3047,0.0,0.0,0.0,0.0,0.0,0.0,327,34,275,602,224,9,0,29,0,0,14,136,597,0,238,184,0,427,0,0,24,22
44,11,2015,2.279060826057077,1.8673628939327782,14.968024425769134,0.44374744784619896,10.103628508586656,3.2676512747949458,5.489042177901172,0.0,0.0,2993167.50150659,4402,6.57877512856475,2.992052360916316,1493.3134642356242,687.0224405100973,44.68664598058016,0.48373071528751754,4278,4278,1.0,1.0,0.0,0.0,1.0,1.0,373,36,320,703,232,12,0,22,0,0,12,137,758,0,292,937,0,515,0,0,29,24
45,11,2015,2.1825643991972346,1.2483095462128613,10.830829782111225,0.26212485838272925,9.891020372993083,3.267022694485171,4.030647291032421,0.0,0.0,3042663.0,4544,6.226110363391656,2.8553162853297445,1495.330641543293,673.699865410498,46.99999999999999,0.5027366532077164,4458,4458,0.0,0.0,2.0,1.0,0.0,0.0,343,28,307,637,210,15,0,23,0,0,21,137,791,0,251,1293,0,446,0,0,28,14
46,11,2015,2.1224368568556877,0.8937154595099497,8.627691794362855,0.1597673093882054,9.740701517139216,3.25521192723951,3.196116675164712,0.0,0.0,2482085.000542772,3706,6.735984534658934,2.847555923777962,1584.9516708091687,673.8472799068688,46.99999999999999,0.48140016570008287,3621,3621,1.0,1.0,4.0,1.0,1.0,1.0,227,22,296,649,199,6,0,32,0,0,13,165,676,0,284,573,0,508,0,0,29,27
47,11,2015,2.0923730856849145,0.7164184161584939,7.52612280048867,0.10858853489094349,9.665542089212284,3.2493065436166795,2.7788513672308572,0.0,0.0,2029373.0,2862,6.170687792581923,2.82607129996399,1629.2715160244868,714.7176809506661,46.99999999999999,0.4805401512423479,2777,2777,0.0,0.0,0.0,0.0,0.0,0.0,212,32,216,543,179,4,0,28,0,0,12,114,666,1,193,299,0,324,0,0,23,16
