order_week,Month,Year,adStock_TV,adStock_Digital,adStock_Sponsorship,adStock_Content Marketing,adStock_Online marketing,adStock_ Affiliates,adStock_SEM,adStock_Radio,adStock_Other,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,CoolingPad,GameControlMount,GamePad,GamingAccessoryKit,GamingAdapter,GamingChargingStation,GamingHeadset,GamingKeyboard,GamingMemoryCard,GamingMouse,GamingMousePad,GamingSpeaker,JoystickGamingWheel,MotionController,TVOutCableAccessory
65,3,2016,3.6239531845090247,0.8286925860810986,16.207730900837266,0.14803727334823652,7.300063694941216,2.4598537946058965,2.050591899010599,0.337125,6.178898720504766,1991181.0021336668,3049,5.999327052489906,2.5555181695827724,1218.5386944818304,659.5984188126589,49.02055041461362,0.42930349932705253,2972,2972,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1011,182,88,1,831,117,55,517,40,4,27,7,168
66,4,2016,2.8238235956953273,0.5238345637680618,13.014695137853558,0.047765882550722484,7.921486561040538,2.717952201405442,2.069383482185806,0.0815625,1.494894851735024,2101729.5,3207,5.86784,2.48032,1236.90016,661.19536,50.25924747047889,0.43690239999999997,3125,3125,1.0,1.0,0.0,0.0,1.0,1.0,5,0,948,199,87,2,979,94,48,544,71,7,55,9,159
67,4,2016,2.6841483616445485,0.473327824396072,12.454467244162483,0.03144561297584288,8.031752496617187,2.7629098599730155,2.0734512937329024,0.0380625,0.6976175974763446,2226294.5018397453,3176,6.110895570643389,2.5263498221791143,1313.7882314904623,709.1104108704284,51.82760501909438,0.4320142256708697,3093,3093,1.0,1.0,0.0,0.0,0.0,0.0,0,0,980,186,68,0,925,167,46,522,64,10,59,11,138
68,4,2016,2.614310744619159,0.4480744547100771,12.174353297316948,0.023285478188403083,8.086885464405512,2.785388689256802,2.075485199506451,0.0163125,0.2989789703470048,1911753.0,2837,5.9335740072202166,2.5064981949458485,1307.6610108303248,680.3087845968712,51.82760501909438,0.4540469314079423,2770,2770,0.0,0.0,0.0,0.0,1.0,1.0,2,0,870,123,86,0,780,189,17,451,81,11,48,4,175
69,4,2016,2.5793919361064646,0.43544776986707967,12.034296323894178,0.019205410794683183,8.114451948299674,2.7966281038986955,2.0765021523932248,0.0054375,0.09965965678233495,1205070.0,1897,4.591256830601093,2.2825136612021857,1259.4590163934427,644.3633879781421,51.82760501909438,0.464983606557377,1830,1830,0.0,0.0,0.0,0.0,0.0,0.0,1,0,471,66,30,0,437,87,27,646,32,1,42,1,56
70,4,2016,2.5619325318501174,0.42913442744558095,11.964267837182796,0.017165377097823235,8.128235190246755,2.802247811219642,2.0770106288366117,0.0,0.0,3775768.0,6083,6.39872247436544,2.372499579761304,1297.7818120692552,626.4369641956631,51.45601320456295,0.473688014792402,5949,5949,0.0,0.0,0.0,0.0,1.0,1.0,4,0,1705,294,116,0,2295,190,64,897,112,25,131,17,233
71,5,2016,1.1237339361547898,0.3909248636775191,14.728635199329243,0.300336994547101,10.804044092915891,3.2172018598142014,3.0857763401991916,0.41250000000000003,1.8701250000000034,2280435.0,3527,5.827596181660399,2.3638993346832513,1457.387330054961,650.0740526468036,47.306951226359324,0.4726583743129881,3457,3457,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1016,186,85,0,1254,81,28,542,75,12,121,15,111
72,5,2016,0.8840341702055686,0.3845566030495088,15.189363093020319,0.3475322641219806,11.250012243360748,3.2863608679132943,3.2539039587596212,0.48125000000000007,2.181812500000004,2481971.0,4336,5.646502835538753,2.2270793950850662,1294.5640359168242,575.5508034026465,47.306951226359324,0.5105718336483931,4232,4232,1.0,1.0,0.0,0.0,1.0,1.0,1,0,988,181,81,0,1944,112,53,606,81,26,145,11,107
73,5,2016,0.7641842872309579,0.38137247273550356,15.419727039865855,0.37112989890942044,11.472996318583178,3.320940371962841,3.337967768039836,0.515625,2.337656250000004,2512250.2502639918,4383,5.631936314680403,2.1261999531725593,1340.6249121985484,579.8554788723933,47.306951226359324,0.5200163896043081,4271,4271,1.0,1.0,0.0,0.0,0.0,0.0,6,0,923,199,106,0,1990,115,59,616,67,32,114,17,139
74,5,2016,0.7042593457436527,0.379780407578501,15.534909013288623,0.38292871630314035,11.584488356194392,3.338230123987614,3.3799996726799435,0.5328125000000001,2.415578125000004,3597445.326656575,5206,5.280359234673956,1.9672003123779773,1448.771378367825,694.5992437830096,47.306951226359324,0.4929988285825849,5122,5122,0.0,0.0,3.0,1.0,0.0,0.0,3,0,1427,194,76,0,1722,143,76,1131,28,59,180,20,147
75,6,2016,0.6593619399049895,0.5164625269692672,11.227062232048903,0.10610231256341984,5.162874334865582,1.627281918228737,1.930420418352284,0.12890625000000003,0.584414062500001,2706532.921235198,4162,5.5316424525978825,2.0578675203151935,1301.0137897069687,657.1433353094499,49.60853968229103,0.464902733316917,4061,4061,0.0,0.0,0.0,0.0,1.0,1.0,1,0,1115,218,65,0,1272,122,66,858,58,55,166,6,160
76,6,2016,0.6568727840558211,0.5393755522974785,10.499489270723718,0.05898134382398977,4.083314328176513,1.3406830712668596,1.6853212172443317,0.06015625000000001,0.2727265625000005,2406485.0,3700,5.663231197771588,2.1376044568245125,1289.6264623955433,655.7818477251625,50.516687050376724,0.4653816155988858,3590,3590,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1037,195,68,1,1211,134,84,597,65,34,170,8,95
77,6,2016,0.6556282061312368,0.5508320649615841,10.135702790061128,0.03542085945427473,3.5435343248319784,1.1973836477859208,1.5627716166903556,0.025781250000000002,0.11688281250000021,2258602.0,3498,5.866037179108882,2.1667158453821185,1299.259958689879,651.4074948362348,50.516687050376724,0.46005606373561525,3389,3389,0.0,0.0,0.0,0.0,1.0,1.0,4,0,909,199,65,0,1243,144,53,526,64,6,128,22,135
78,6,2016,0.6550059171689447,0.5565603212936369,9.953809549729831,0.023640617269417213,3.2736443231597114,1.1257339360454515,1.5014968164133675,0.00859375,0.03896093750000007,1974762.250347705,2976,5.7937391304347825,2.188173913043478,1546.695304347826,670.1440870774626,50.516687050376724,0.43887652173913044,2875,2875,2.0,1.0,0.0,0.0,0.0,0.0,0,0,814,169,55,0,1067,128,25,462,41,6,104,9,96
79,6,2016,0.6546947726877987,0.5594244494596633,9.862862929564184,0.017750496176988456,3.1386993223235775,1.0899090801752167,1.4708594162748736,0.0,0.0,1124340.750293772,1619,5.064968152866242,2.2312101910828024,1684.9522292993631,699.8890129259694,50.51668705037673,0.43270700636942677,1570,1570,0.0,0.0,0.0,0.0,0.0,0.0,0,0,410,103,34,0,549,69,8,264,16,8,86,11,61
