order_week,Month,Year,adStock_TV,adStock_Digital,adStock_Sponsorship,adStock_Content Marketing,adStock_Online marketing,adStock_ Affiliates,adStock_SEM,adStock_Radio,adStock_Other,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,BoomBox,DJController,Dock,DockingStation,FMRadio,HiFiSystem,HomeAudioSpeaker,SlingBox,SoundMixer,VoiceRecorder
54,1,2016,2.152390722317608,0.3335220011701468,4.318362066832811,0.4404446753889373,11.003289305794018,3.5230535347409564,2.3266700813455934,1.1812500000000001,11.85187500000001,6300283.0,3177,4.765393116514051,2.8471739816861383,4367.511840858857,1985.804546889801,47.09303132503366,0.46260183138616984,3167,3167,0.0,0.0,0.0,0.0,0.0,0.0,28,0,37,1,386,22,2649,0,0,54
55,1,2016,2.154328166707546,0.27118800050149156,3.031976600071206,0.44188700373811607,11.156320416768864,3.5826925863175516,2.1783943205766843,1.265625,12.698437500000011,4158634.0,2104,5.433206106870229,2.842557251908397,3975.118320610687,1979.3315839694656,47.09303132503366,0.4134017175572519,2096,2096,0.0,0.0,0.0,0.0,1.0,1.0,33,0,47,5,335,14,1621,0,0,49
56,1,2016,2.155296888902515,0.24002100016716393,2.388783866690403,0.4426081679127055,11.232835972256286,3.6125121121058488,2.1042564401922292,1.3078125000000003,13.121718750000012,4698152.446680896,2492,5.709664375252729,2.653861706429438,3782.947836635665,1889.7369375984213,47.09303132503366,0.42461787302871,2473,2473,0.0,0.0,3.0,1.0,0.0,0.0,19,0,56,8,386,18,1933,0,0,72
57,1,2016,2.1557812499999995,0.22443750000000012,2.067187500000002,0.4429687500000002,11.271093749999995,3.627421874999998,2.067187500000002,1.3289062500000002,13.333359375000011,3982472.0,2062,5.6533203125,2.666015625,3723.32763671875,1937.62255859375,47.09303132503366,0.4021044921875,2048,2048,0.0,0.0,0.0,0.0,0.0,0.0,24,1,25,12,413,17,1500,0,0,70
58,2,2016,1.4830341064331845,0.7706816318926976,4.889270740188775,0.3292578707153503,10.143231107178345,3.2880540160829614,2.319798652508696,0.31640625000000006,3.174609375000003,6291449.0,3112,4.857604133031966,2.7920568291895385,4168.375524701324,2027.9551178559896,50.32740649908032,0.44237972231191475,3097,3097,0.0,0.0,2.0,1.0,1.0,1.0,33,0,31,4,475,17,2476,0,0,76
59,2,2016,1.3709095825053819,0.8617223205414805,5.359617946886903,0.310306057501242,9.955254000041403,3.231492706263456,2.3619005112601448,0.14765625000000002,1.4814843750000013,4009701.0,2139,5.31672932330827,2.799812030075188,3636.0845864661655,1879.3867481203008,50.32740649908032,0.4108834586466166,2128,2128,1.0,1.0,1.0,1.0,0.0,0.0,35,0,45,8,430,18,1541,0,0,62
60,2,2016,1.3148473205414808,0.907242664865872,5.594791550235968,0.30083015089418785,9.861265446472931,3.2032120513537023,2.3829514406358694,0.06328125000000001,0.6349218750000005,5721136.360000893,2938,5.057408044001375,2.586799587487109,3987.324510140942,1955.4395806120986,50.32740649908032,0.44382949467170846,2909,2909,1.0,1.0,3.0,1.0,1.0,1.0,27,0,52,4,450,15,2312,0,0,78
61,2,2016,1.28681618955953,0.9300028370280677,5.7123783519105,0.29609219759066074,9.814271169688697,3.1890717238988264,2.393476905323732,0.02109375,0.2116406250000002,4435812.0,2328,5.71231101511879,2.577105831533477,3542.8872570194385,1909.9792656587474,50.32740649908032,0.3911403887688985,2315,2315,0.0,0.0,0.0,0.0,0.0,0.0,25,0,34,11,412,32,1738,0,0,76
62,3,2016,3.0930477676353707,0.8541387912164686,13.851088512558992,0.180934100223547,7.862482157989202,2.6229194190884266,2.1292059045138068,0.261,4.783663525552077,3840500.0,2141,5.809948381041765,2.662599718442046,3183.0065696855936,1796.9455654622243,49.20084872002574,0.3699530736743313,2131,2131,0.0,0.0,0.0,0.0,1.0,1.0,24,0,45,5,477,41,1480,0,0,69
63,3,2016,3.396422291563173,0.8395981025676857,15.197741305860863,0.16213591343765532,7.541100179104639,2.5297390622412665,2.0842836156548312,0.3045,5.580940779810756,5642088.0,2892,5.310201249132547,2.6415683553088134,3786.9358084663427,1954.1219639139485,49.02055041461362,0.420263705759889,2882,2882,0.0,0.0,3.0,1.0,0.0,0.0,39,0,41,9,529,33,2158,0,0,83
