order_week,Month,Year,adStock_Traditional Marketing,adStock_Digital Marketing,adStock_Partnership Marketing,adStock_Other Marketing,gmv,units,sla,product_procurement_sla,product_mrp,selling_price,NPS,discount,total_transactions,total_premium_products,total_holidays,is_holiday,total_special_sale_days,is_special_sale_day,total_pay_days,is_pay_day,Binoculars,CameraAccessory,CameraBag,CameraBattery,CameraBatteryCharger,CameraBatteryGrip,CameraEyeCup,CameraFilmRolls,CameraHousing,CameraMicrophone,CameraMount,CameraRemoteControl,CameraTripod,ExtensionTube,Filter,Flash,FlashShoeAdapter,Lens,ReflectorUmbrella,Softbox,Strap,Telescope
48,11,2015,9.052679503651106,12.908950130637825,10.221692155356841,0.0,2291592.001085544,2990,6.49776709034696,2.9257986946066645,1620.3205084163517,772.495706315886,46.99999999999999,0.44829611817244935,2911,2911,0.0,0.0,0.0,0.0,0.0,0.0,232,19,259,697,216,17,0,18,0,0,13,112,526,2,221,266,0,355,0,0,23,14
49,12,2015,20.7862761502817,14.418195420276263,21.493443209686042,0.0,2492514.0,3269,6.317713214620431,2.8759762574195564,1660.3264604810997,767.7172758512964,45.98106841611996,0.4743423930021868,3201,3201,0.0,0.0,0.0,0.0,1.0,1.0,209,36,265,635,238,9,0,31,0,0,13,127,715,0,253,265,0,425,0,0,26,22
50,12,2015,22.7418755913868,14.669736301882669,23.372068385407573,0.0,2809645.0,3873,5.995239354668077,2.737371065855594,1697.0568632636869,729.0764348056069,45.8,0.5128087807458345,3781,3781,0.0,0.0,0.0,0.0,0.0,0.0,219,40,284,757,224,10,0,42,0,0,23,104,1185,3,227,273,0,436,0,0,21,25
51,12,2015,23.719675311939348,14.795506742685872,24.311380973268342,0.0,2565185.0,3142,6.784076015727392,2.802752293577982,1662.942005242464,824.4760812581914,45.800000000000004,0.4576114023591088,3052,3052,0.0,0.0,0.0,0.0,1.0,1.0,229,26,322,664,215,4,1,41,0,0,15,81,558,2,185,322,0,408,0,0,29,40
52,12,2015,24.208575172215625,14.858391963087474,24.781037267198723,0.0,2875484.0,4070,6.508860759493671,2.8129113924050633,1552.4483544303798,716.0477215189874,45.8,0.5053772151898734,3950,3950,2.0,1.0,3.0,1.0,0.0,0.0,280,35,303,713,206,11,2,36,0,0,15,112,745,4,305,711,0,533,0,0,25,34
53,1,2016,10.052148833893753,14.216198707925779,10.294908431943789,10.158750000000008,2775015.0,3909,6.165479018210609,2.8057534969648983,1492.3985220374768,714.2755344418052,46.407782736839515,0.46975983108999736,3789,3789,1.0,1.0,6.0,1.0,1.0,1.0,231,41,285,641,232,10,2,44,0,0,20,95,672,3,255,832,0,479,0,0,28,39
54,1,2016,7.652002789150419,14.103926063698696,7.841415601573768,11.85187500000001,2983720.0,5064,5.877925746569814,2.8638014527845037,1330.6101694915253,592.9279661016949,47.09303132503366,0.514729620661824,4956,4956,0.0,0.0,0.0,0.0,0.0,0.0,230,41,265,556,245,3,1,33,0,0,23,87,786,2,226,2036,0,473,0,0,26,31
55,1,2016,6.451929766778752,14.047789741585154,6.614669186388756,12.698437500000011,2334128.0,3596,6.648495173197047,2.623793299261783,1423.2183418512209,652.1206700738217,47.09303132503366,0.5095371947756956,3522,3522,0.0,0.0,0.0,0.0,1.0,1.0,179,47,249,451,208,6,2,40,0,0,14,75,578,2,221,1099,0,363,0,0,36,26
56,1,2016,5.851893255592918,14.019721580528383,6.001295978796252,13.121718750000012,3214382.0,4743,6.421382289416846,2.6652267818574513,1411.3246220302376,681.4981641468682,47.09303132503366,0.5066025917926567,4630,4630,0.0,0.0,3.0,1.0,0.0,0.0,215,41,274,593,295,11,1,53,0,2,24,79,424,3,268,1870,0,516,0,0,37,37
57,1,2016,5.551875000000002,14.005687499999999,5.694609374999999,13.333359375000011,2442874.0,3268,6.685562167240839,2.6056999686814906,1522.971813341685,753.1531475101785,47.09303132503366,0.466626996554964,3193,3193,0.0,0.0,0.0,0.0,0.0,0.0,240,47,312,604,216,10,0,30,0,0,23,64,373,4,205,641,0,433,0,0,28,38
